[2025-08-17 12:58:51,929: INFO: 1020500885]: Downloading data from https://drive.google.com/file/d/1M5c0pXG9onlrm0z0IlgAoFyz8C58kkFo/view?usp=sharing into file Data/Food.zip
[2025-08-17 12:59:00,288: INFO: 1020500885]: Successfully extracted zip file to Data/Food
[2025-08-17 13:03:28,782: INFO: loader]: Loading faiss.
[2025-08-17 13:03:28,819: INFO: loader]: Successfully loaded faiss.
[2025-08-17 13:07:20,008: INFO: SentenceTransformer]: Use pytorch device_name: mps
[2025-08-17 13:07:20,009: INFO: SentenceTransformer]: Load pretrained SentenceTransformer: all-MiniLM-L6-v2
[2025-08-17 14:08:36,961: INFO: _client]: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-08-17 14:08:36,964: INFO: _base_client]: Retrying request to /chat/completions in 0.389696 seconds
[2025-08-17 14:08:37,412: INFO: _client]: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-08-17 14:08:37,414: INFO: _base_client]: Retrying request to /chat/completions in 0.941058 seconds
[2025-08-17 14:08:38,963: INFO: _client]: HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
[2025-08-17 16:02:06,769: INFO: SentenceTransformer]: Use pytorch device_name: mps
[2025-08-17 16:02:06,770: INFO: SentenceTransformer]: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
[2025-08-17 16:05:13,377: INFO: SentenceTransformer]: Use pytorch device_name: mps
[2025-08-17 16:05:13,378: INFO: SentenceTransformer]: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
[2025-08-17 16:06:14,259: INFO: posthog]: Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
[2025-08-17 16:09:16,614: INFO: SentenceTransformer]: Use pytorch device_name: mps
[2025-08-17 16:09:16,615: INFO: SentenceTransformer]: Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
[2025-08-17 16:26:23,644: WARNING: chat_models]: Unexpected argument 'model_name' provided to ChatGoogleGenerativeAI. Did you mean: 'model'?
